module	Origin	8MPa	15MPa	30MPa	8MPaII	15MPaII	30MPaII
M00051	3016.995977025	3219.9117082219996	2932.48218852	2976.6753523439993	2877.4125497310006	2818.8333708470004	2607.3924768179995
M00052	748.690501994	743.1942348350001	749.938880234	743.146986723	739.4026853770004	702.046090271	715.2700847240001
M00053	1995.8505266369996	2284.819307347	2200.143853363	2268.5881006100003	2229.906108367001	2345.094547789	2220.5606834340006
M00055	18.438689689000004	33.560686691	57.371744617	32.660285292	36.098329746000005	24.580504383	29.070288861
M00056	0.0	0.028262835	0.101281264	0.118463532	0.029071297000000006	0.051239009	0.036507708
M00057	0.019581955	0.237644894	0.240198318	0.250763263	0.253844407	1.797918015	1.050785308
M00059	0.0	0.576786804	0.0	0.0	0.16951025	0.14938338	0.53217703
M00060	1687.7889630589998	1376.282957179	1186.55718242	1253.3983490620003	1222.8533398969998	1593.6721933520002	1413.4218366019998
M00061	200.07384368400002	362.201754905	275.919613333	342.100831337	336.7651374630001	482.35435262600015	497.1643182350001
M00063	665.343077998	559.7812994689998	498.225673015	550.0522073569998	522.890311828	665.5605553989999	595.9788661959999
M00064	300.84643946100005	430.5643826510001	401.32828567200005	514.3661460720001	534.5558362070001	743.4145256579999	637.729656952
M00065	12.806110777	40.85644228300001	33.518834794	23.478808955999998	21.629841325000005	15.026523673	9.163872319000003
M00066	1.009295388	2.8204335090000003	4.2381803	6.463257272999999	9.914877925	36.763642415999996	41.552573761999994
M00072	5.5640755760000005	9.991469816	16.403169478	10.684532285	11.819757474000003	13.226320270000002	12.092760547000001
M00076	18.705348152000003	65.179080909	59.740201387	57.67887230999999	69.394754721	116.16234824899999	106.602006784
M00077	17.343026777000002	57.98624992600001	52.837246992	47.652845414999994	53.547338784	86.918477331	81.11208861700001
M00078	201.657346211	89.021077136	73.978576417	99.47446347399999	145.87731483599998	242.450528418	228.901111711
M00079	99.10866714	41.997695363000005	41.148126786999995	49.233718240000016	74.245367796	95.784818829	115.224912772
M00081	3.105887618	13.676497516	33.409407131	40.053794411000005	55.44883513800001	75.821289319	103.943305999
M00082	1435.8667617539998	1441.5882155690003	1271.1224144880002	1349.59151082	1366.827745362	1396.9651914849999	1391.696705009
M00083	3179.3666418379994	2731.061240724001	2307.950169816001	2387.562206929999	2344.768427501001	2755.353785877	2532.7232363490007
M00085	188.728886205	53.066856040999994	25.594210255	20.195220339	13.401429037000002	4.3625079300000005	4.045293439
M00086	1935.1398245149994	1091.017949436	839.6247589099993	772.4570336769996	751.9115428549998	775.6096487610001	721.3342189900002
M00087	3438.2464619710017	2175.092986941	1560.8665459569988	1651.7116016799998	1512.8831321019995	2382.2910242769995	2132.921462974999
M00088	1580.274262844	1369.757258499001	1093.4308536679994	1036.9727868539997	997.3937205679991	1166.8532612699996	983.2643746030003
M00089	676.725667938	576.9978789670007	499.36069508900005	493.8281453659999	502.387714432	477.467986319	451.09687728400013
M00090	31.653732798	27.018385238	47.850616753	42.027842891	40.187122728	9.40935124	20.405171753999998
M00091	10.997961900999998	31.299705511000013	28.219108148000004	29.364518098	27.38404494599999	50.62677854099999	49.179365668
M00092	31.09327934	26.226706412	47.399330823999996	41.121009335000004	39.269353556	10.604331277	20.834343445
M00093	713.3780527859999	647.7704853800001	611.8493038320001	595.7778699910001	595.5689966839999	660.8809583959999	660.2929713699999
M00094	112.357967446	42.55638194	26.687587446000002	27.66027555	22.058364276999995	19.132956087	13.663598984
M00095	1573.1093746860001	1291.9062400250011	1121.4797714049994	1001.9158183579997	961.2195171239991	941.1059140329996	859.0300596090002
M00096	1555.3790468700001	1609.28767851	1509.4393563229996	1583.7633556489998	1599.8978955920006	1604.3607927490002	1577.3735638470002
M00097	38.795067483	79.86604716400001	68.389623756	96.89302785600003	88.571825718	132.055386291	130.81429213599998
M00098	754.9760271180003	307.10846463199994	231.77590782299998	232.14396334400004	212.122142245	237.38756013600008	185.32980949600002
M00099	166.109592168	126.05859210399998	98.75533104399997	116.072593721	132.560136936	171.97311115000002	151.484755397
M00100	221.469781662	140.87828812600003	108.713019976	77.680899452	82.417467502	49.636580660999996	34.414351292000006
M00101	7.9241862869999995	16.706266016999997	13.588895946	15.395007914999999	15.866194101000001	30.648630480999998	30.081229899
M00102	57.012060586	83.77827713799999	59.468157164000004	66.28506157300001	60.258284030000006	60.026455909000006	50.218750059
M00104	229.68044728299998	106.04830500299998	72.596204395	77.469306986	72.40068771500003	104.45293854099994	91.32105199300003
M00112	52.774466362	70.776434837	47.090913411	45.553022516	47.962239335	50.071688776	53.630731588
M00113	0.4744178	1.2636776130000005	0.813972173	1.6229107709999997	1.32140359	1.810948484	0.958631389
M00114	307.2289462120001	179.44441952300002	164.68354712300007	150.467773215	155.287709861	125.22019127600001	155.77429877400002
M00115	1457.7878800479998	1418.185828848	1359.4085074339996	1371.8565858790002	1352.717067694	1365.5314765470007	1311.8822897929997
M00116	548.18305601	505.148533597	507.27084594800004	539.610469045	570.1810247260003	623.3096499550002	606.8496483889999
M00117	1304.116066024	1693.236557363	1536.3639650950001	1681.314616646	1631.655415701	2047.2827111770002	1788.7780173380002
M00118	211.75154292499997	306.830766221	270.13026907200003	310.917085559	303.984875959	436.91709629900004	380.4134777290001
M00119	880.4164285530001	939.7165762759996	922.0788224209999	922.301234207	927.353018351	857.8249506640002	835.920307815
